Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Fours,Sixes,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,Player_Name,T20_BOWLING.Bowl_Avg,T20_BOWLING.Economy_Rate,T20_BOWLING.Overs,T20_BOWLING.SR,T20_FIELDING.Dissmissals,T20_FIELDING.Field_Innings,T20_FIELDING.Matches
117,ENG,4,3,4,2,37,19*,0,0,0,1,2,0,113,2,1\29,0,0,1,0,England,CR Woakes,56.5,10.27,11,33,1,4,4
118,ENG,2,0,2,0,0,0,0,0,0,0,0,0,70,2,1\28,0,0,1,0,England,SC Meaker,35,8.93,7.5,23.5,1,2,2
119,ENG,3,3,0,0,76,43,0,0,0,10,1,0,0,0,0,0,0,3,0,England,VS Solanki,0,0,0,0,3,3,3
120,ENG,3,1,3,0,1,1,0,0,0,0,0,0,72,0,0,0,0,2,0,England,SD Parry,0,9,8,0,2,3,3
121,ENG,1,1,1,0,1,1,0,0,0,0,0,0,40,2,2\40,0,0,0,0,England,MS Panesar,20,10,4,12,0,1,1
122,ENG,3,1,3,1,0,0*,0,0,0,0,0,0,97,3,2\38,0,0,1,0,England,A Shahzad,32.33,8.81,11,22,1,3,3
123,ENG,1,0,1,0,0,0,0,0,0,0,0,0,37,1,1\37,0,0,0,0,England,LE Plunkett,37,9.25,4,24,0,1,1
124,ENG,2,2,0,0,60,40,0,0,0,5,4,0,0,0,0,0,0,0,0,England,P Mustard,0,0,0,0,0,2,2
125,ENG,2,2,0,1,33,19,0,0,0,5,0,0,0,0,0,0,0,2,0,England,GO Jones,0,0,0,0,2,2,2
126,ENG,1,0,1,0,0,0,0,0,0,0,0,0,24,1,1\24,0,0,0,0,England,WB Rankin,24,6,4,24,0,1,1
127,ENG,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,England,EC Joyce,0,0,0,0,0,2,2
128,ENG,2,2,0,0,27,27,0,0,1,4,0,0,0,0,0,0,0,0,0,England,MP Vaughan,0,0,0,0,0,2,2
129,ENG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,England,TR Ambrose,0,0,0,0,2,1,1
130,ENG,1,1,0,1,10,10*,0,0,0,0,0,0,0,0,0,0,0,1,0,England,RWT Key,0,0,0,0,1,1,1
131,ENG,1,1,1,0,7,7,0,0,0,0,0,0,12,0,0,0,0,1,0,England,JN Snape,0,12,1,0,1,1,1
132,ENG,1,1,0,1,31,31*,0,0,0,2,1,0,0,0,0,0,0,0,1,England,PA Nixon,0,0,0,0,1,1,1
133,ENG,1,0,1,0,0,0,0,0,0,0,0,0,45,2,2\45,0,0,0,0,England,CT Tremlett,22.5,11.25,4,12,0,1,1
134,ENG,1,1,0,0,13,13,0,0,0,2,0,0,0,0,0,0,0,1,0,England,CMW Read,0,0,0,0,1,1,1
135,NZ,66,66,0,10,2043,123,2,13,3,192,85,0,0,0,0,0,0,34,8,New Zealand,BB McCullum,0,0,0,0,42,66,66
136,IND,25,11,24,4,100,21,0,0,0,10,4,4,573,22,4\12,1,0,6,0,India,Harbhajan Singh,26.04,6.36,90,24.5,6,24,25
137,NZ,57,52,0,9,1056,63,0,5,4,68,42,0,0,0,0,0,0,36,0,New Zealand,LRPL Taylor,0,0,0,0,36,57,57
138,NZ,47,45,1,6,1241,101*,1,5,2,110,49,0,11,0,0,0,0,24,0,New Zealand,MJ Guptill,0,11,1,0,24,47,47
139,IND,21,11,21,3,77,25,0,0,1,3,1,2,494,13,3\48,0,0,11,0,India,RA Jadeja,38,7.19,68.4,31.6,11,21,21
140,NZ,54,33,51,11,270,36*,0,0,3,17,7,0,1079,52,4\16,2,0,20,0,New Zealand,NL McCullum,20.75,6.77,159.1,18.3,20,54,54
