Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
924,NZ,22,12,22,8,101,39,0,0,0,22,791,32,4\19,3,0,2,0,New Zealand,1180,36.8,GB Troup
925,NZ,51,42,49,12,499,43,0,0,6,19,1841,31,2\3,0,0,18,0,New Zealand,2387,77,JG Bracewell
926,NZ,65,62,7,4,1363,76,0,6,1,0,68,3,1\4,0,0,14,0,New Zealand,90,30,GP Howarth
927,NZ,12,8,12,3,34,9,0,0,0,18,401,14,5\23,0,1,1,0,New Zealand,712,50.8,RO Collinge
928,NZ,55,52,50,10,964,83,0,5,2,16,1583,42,3\14,0,0,18,0,New Zealand,2061,49,SA Thomson
929,NZ,35,35,0,0,724,74,0,4,4,0,0,0,0,0,0,16,3,New Zealand,0,0,CJ Nevin
930,NZ,27,11,27,6,17,7*,0,0,2,14,1095,49,4\35,4,0,5,0,New Zealand,1368,27.9,GI Allott
931,NZ,19,11,19,5,70,18*,0,0,1,12,736,23,4\30,1,0,7,0,New Zealand,963,41.8,SR Gillespie
932,NZ,15,13,0,4,71,18*,0,0,2,0,0,0,0,0,0,14,3,New Zealand,0,0,EB McSweeney
933,NZ,13,8,13,4,54,27,0,0,1,11,442,17,3\23,0,0,2,0,New Zealand,758,44.5,BJ McKechnie
934,NZ,37,13,37,6,24,8,0,0,3,10,1355,45,5\39,1,2,10,0,New Zealand,1439,31.9,SB O'Connor
935,NZ,50,50,1,0,936,86,0,5,6,0,6,0,0,0,0,15,0,New Zealand,3,0,CM Spearman
936,NZ,6,4,6,2,7,5*,0,0,1,8,212,8,3\29,0,0,3,0,New Zealand,370,46.2,HJ Howarth
937,NZ,44,43,0,0,857,74,0,5,2,0,0,0,0,0,0,12,0,New Zealand,0,0,MJ Horne
